Ext_ID,Name,ccai_qa__AI_Agent__r:Name,_Sequence,_Is_Active,_Description
DOC-INT-005,sensitive_document_concern,Document Intelligence Agent,5,true,"Trigger when user mentions a document is sensitive confidential restricted or private — confidential document sensitive file restricted access private document NDA not for everyone"
DOC-INT-006,no_document_name_given,Document Intelligence Agent,6,true,"Trigger when user asks to find documents without specifying any name or type — find my documents show all files list documents without any specific name or keyword mentioned"
PIPE-INT-001,pipeline_forecast_overview,Find Opportunity by Probability,1,true,"Trigger when user wants a general overview or summary of pipeline deals — pipeline overview show me deals all opportunities pipeline summary what's in the pipeline our deals"
PIPE-INT-002,pipeline_hygiene_check,Find Opportunity by Probability,2,true,"Trigger when user wants to check or clean up quality of pipeline data — pipeline hygiene data quality stale deals old close dates needs attention pipeline health check"
PIPE-INT-003,probability_explanation,Find Opportunity by Probability,3,true,"Trigger when user asks what probability means or how it is used — what does probability mean how is probability calculated what is 70 percent probability explain probability scoring"
PIPE-INT-004,must_win_deal_flag,Find Opportunity by Probability,4,true,"Trigger when user identifies a specific deal as must-win strategic critical or highest priority — must win this deal strategic account can't lose this one critical deal top priority"
PIPE-INT-005,pipeline_gap_identified,Find Opportunity by Probability,5,true,"Trigger when search results show no high-probability opportunities or user identifies a pipeline gap — no deals found no high probability opportunities pipeline looks empty gap in pipeline low pipeline"
PIPE-INT-006,quarter_close_urgency,Find Opportunity by Probability,6,true,"Trigger when user is focused on end of quarter urgency to close deals — end of quarter need to close by quarter end Q close push for close month end crunch time closing deals"
CASE-INT-001,case_resolved_ready_to_close,Update Case Status,1,true,"Trigger when user says case is resolved fixed sorted and ready to close — resolved fixed solved done can close it ready to close this issue has been sorted all good now"
CASE-INT-002,case_on_hold_waiting,Update Case Status,2,true,"Trigger when user wants to put a case on hold or is waiting for customer response — on hold waiting for customer pending customer response waiting on information need to pause case"
CASE-INT-003,no_case_id_provided,Update Case Status,3,true,"Trigger when user wants to update a case but does not provide the case ID or case number — close this case update the case status without giving a case ID or case number"
CASE-INT-004,case_status_options,Update Case Status,4,true,"Trigger when user asks what case statuses are available or what status to set — what statuses are available what can I set the status to status options for cases"
CASE-INT-005,case_urgent_critical,Update Case Status,5,true,"Trigger when user signals a case is urgent or critical and needs immediate attention — urgent case critical priority highest priority need this sorted immediately escalate now"
CASE-INT-006,customer_at_risk_of_churning,Update Case Status,6,true,"Trigger when conversation suggests customer might cancel or is very unhappy due to unresolved issues — customer is fed up threatening to cancel at risk of leaving not happy with support"
CASE-INT-007,case_sla_breach,Update Case Status,7,true,"Trigger when user mentions a case has breached or is approaching SLA limits — SLA breach SLA deadline SLA violation due today past SLA response time exceeded"
SPE-INT-001,#Arrest#,SP Energy Bot,1,true,"Chat indicates the user or someone they know has been arrested or is in police custody — arrested in custody detained by police police took them locked up"
SPE-INT-002,#Assault#,SP Energy Bot,2,true,"Conversation indicates the user or someone they know has been assaulted attacked or is victim of physical violence — attacked assaulted hit me physical violence someone hurt me beat up"
SPE-INT-003,#Legal#,SP Energy Bot,3,true,"Chat indicates user needs legal advice or is facing a legal problem — legal issue need a lawyer legal advice legal rights taking to court sue legal dispute"
SPE-INT-004,#Car Accident#,SP Energy Bot,4,true,"User was involved in or is reporting a car accident road traffic collision or vehicle accident — car accident road accident car crash collision hit by a car traffic accident"
SPE-INT-005,#Emergency#,SP Energy Bot,5,true,"Chat indicates a general emergency or life-threatening situation — emergency help me in danger life at risk serious situation someone is going to get hurt need help urgently"
SPE-INT-006,#Hospital#,SP Energy Bot,6,true,"Identify potential hospital or medical emergency situations — hospital admitted medical emergency ambulance collapsed hospital ward hospitalised health crisis"
SPE-INT-007,#Lost Document#,SP Energy Bot,7,true,"Chat indicates user has lost an important document — lost my document can't find my ID lost my passport missing certificate lost bill lost utility document"
SPE-INT-008,#Missing Ambulance#,SP Energy Bot,8,true,"Chat indicates ambulance was called but has not arrived or emergency services are delayed — ambulance hasn't come waiting for ambulance ambulance not arrived called 999 but no one came"
SPE-INT-009,#Police#,SP Energy Bot,9,true,"Chat indicates police involvement — user is reporting a crime has been stopped by police needs to report something — police called the police reporting a crime officer crime"
SPE-INT-010,#Visa Rejection#,SP Energy Bot,10,true,"Invoke only when user explicitly mentions visa rejection visa refusal or failed immigration application — visa rejected visa refused immigration denied visa application failed"
SPE-INT-011,#Password#,SP Energy Bot,11,true,"User is requesting a password reset has forgotten their password or cannot log in — forgot password reset password can't log in locked out of account login problem"
SPE-INT-012,#Gibberish#,SP Energy Bot,12,true,"Any user query that is incomprehensible random characters repeated keystrokes keyboard mashing or does not form a recognisable language — asdfghjkl qwerty zzzzzz random symbols"
SPE-INT-013,#Agent#,SP Energy Bot,13,true,"Chat indicates user wants to speak to a human agent live advisor or customer service representative — speak to an agent talk to a person human agent real person connect me to someone"
SPE-INT-014,#Help#,SP Energy Bot,14,true,"User asks for general help is unsure what to do or is asking what the bot can do — help what can you do I need help I don't know where to start what are my options"
SPE-INT-015,#Timeout#,SP Energy Bot,15,true,"Session has timed out due to inactivity or user reports session is unresponsive — triggered by system timeout events or when user says the chat is not responding"
SPE-INT-016,#Stuck at Emergency#,SP Energy Bot,16,true,"Chat indicates user is stuck or unable to proceed during an ongoing emergency — stuck don't know what to do can't move trapped stranded can't get out no way forward"
SPE-INT-017,#File a Complaint#,SP Energy Bot,17,true,"Chat indicates user wants to file a formal complaint — complaint I want to complain not happy with service formal complaint raise a complaint this is unacceptable"
SPE-INT-018,#Presidential#,SP Energy Bot,18,true,"Chat indicates user is requesting highest level of escalation — CEO director escalate to the top presidential complaint managing director executive highest level"
SPE-INT-019,#Can't Reach#,SP Energy Bot,19,true,"Chat indicates user has been unable to reach SP Energy customer service — can't get through no one is answering been on hold for hours can't reach anyone phone line dead"
SPE-INT-020,#Thank You#,SP Energy Bot,20,true,"Detect exactly when user is expressing gratitude or closing conversation positively — thank you thanks thank you so much cheers much appreciated that's great thanks brilliant"
SPE-INT-021,#Mental Health#,SP Energy Bot,21,true,"Chat indicates user is experiencing a mental health crisis feeling suicidal or deeply distressed — can't cope want to end it all suicidal mental health crisis I can't go on depressed hopeless"
IPD-INT-001,ipd_greeting,Insurance Plan Discovery Agent,1,true,"Trigger when a user sends a greeting or opens the chat with no specific question — hi hello hey good morning good afternoon how are you or starts without a clear insurance query"
IPD-INT-002,pre_existing_condition_inquiry,Insurance Plan Discovery Agent,2,true,"Trigger when the user mentions a pre-existing medical condition or asks if their existing health condition is covered — diabetes hypertension heart disease cancer thyroid blood pressure prior diagnosis chronic illness pre-existing condition covered"
IPD-INT-003,family_coverage_inquiry,Insurance Plan Discovery Agent,3,true,"Trigger when the user asks specifically about family plans floater plans or coverage for multiple family members — family plan family of four family floater cover my family spouse and kids wife and children my husband my dependants cover everyone"
IPD-INT-004,budget_concern,Insurance Plan Discovery Agent,4,true,"Trigger when the user expresses concern about price or affordability — too expensive can't afford this is over my budget cheaper plan low cost affordable plan looking for something budget-friendly price is high reduce the cost lower premium"
IPD-INT-005,purchase_intent_signal,Insurance Plan Discovery Agent,5,true,"Trigger when the user signals they are ready to buy proceed or get a quote — I want to buy I'd like to purchase I'm ready to sign up get me a quote take it proceed with this plan how do I apply start the application I want this one"
IPD-INT-006,plan_not_found_frustration,Insurance Plan Discovery Agent,6,true,"Trigger when user is frustrated that no plan meets their needs or the search returned no results — nothing matches can't find a suitable plan no results doesn't cover what I need none of these work no plan fits my budget there's nothing for me"
IPD-INT-007,competitor_mention,Insurance Plan Discovery Agent,7,true,"Trigger when the user mentions a competitor insurance company or a competitor's plan by name or compares unfavourably — competitor is cheaper I saw a better plan elsewhere another insurer your competitor has this feature why are you more expensive"
IPD-INT-008,ipd_out_of_scope,Insurance Plan Discovery Agent,8,true,"Trigger when user asks about something outside pre-sales scope — existing policy renewal renewal date claim filing how to make a claim billing payment policy cancellation change of address update personal details existing customer login"
