Ext_ID,Intent_Ext_ID,ccai_qa__AI_Agent_Intent__r:Name,_Seq,_Action_Type,_Language,_Canned_Response_Text,_Object_API_Name,_Flow_API_Name,_Apex_Class_Name,_Apex_Return_Type
CASE-INT-001-ACT-001,CASE-INT-001,case_resolved_ready_to_close,1,Canned Response,English,"Great — I can close this case for you. Before I do, would you like to add resolution notes to document how this issue was resolved? Good resolution notes help your team if similar issues arise in the future. Please provide: (1) The Case ID (starts with '500'), and (2) Optional resolution notes. I'll then close it with status 'Closed - Resolved'.",,,,
CASE-INT-002-ACT-001,CASE-INT-002,case_on_hold_waiting,1,Canned Response,English,"I'll update this case to 'On Hold' status. Cases on hold indicate we're waiting for a response from the customer or a third party. Please provide the Case ID (starts with '500') and I'll make the update. Would you also like to set a follow-up date as a Task so this case doesn't fall through the cracks?",,,,
CASE-INT-003-ACT-001,CASE-INT-003,no_case_id_provided,1,Canned Response,English,"I need the Case ID to update the status. The Case ID is a 15 or 18 character Salesforce ID that starts with '500'. You can find it in the URL when viewing a case, or in the Case Number field (e.g., 00001234 is the number, but I need the full ID starting with 500). Please provide the Case ID and I'll update it right away.",,,,
CASE-INT-004-ACT-001,CASE-INT-004,case_status_options,1,Canned Response,English,"Here are the available case statuses: New → Working → In Progress → Escalated → On Hold → Closed → Closed - Resolved → Closed - Not Resolved. Just provide the Case ID and the status you'd like to set, and I'll update it immediately. For closing, I recommend using 'Closed - Resolved' (issue fixed) or 'Closed - Not Resolved' (issue could not be resolved).",,,,
CASE-INT-005-ACT-001,CASE-INT-005,case_urgent_critical,1,Canned Response,English,"I understand this case needs immediate attention. I've created an urgent escalation task and set the case to Escalated status. A senior team member will be alerted. Please provide the Case ID so I can update the status and priority right now. If this is a customer-facing issue, I recommend also updating the case description with the latest details.",,,,
CASE-INT-005-ACT-002,CASE-INT-005,case_urgent_critical,2,Create Record,,,Task,,,
CASE-INT-006-ACT-001,CASE-INT-006,customer_at_risk_of_churning,1,Create Record,,,Task,,,
CASE-INT-006-ACT-002,CASE-INT-006,customer_at_risk_of_churning,2,Canned Response,English,"I've created an urgent retention task for this customer. When a customer signals they might leave due to support issues, quick personal outreach makes the biggest difference. I recommend: (1) A direct call from an account manager within 24 hours; (2) Reviewing all open cases and prioritising resolution; (3) Offering a service review meeting. Would you like me to pull up all open cases for this account?",,,,
CASE-INT-007-ACT-001,CASE-INT-007,case_sla_breach,1,Update Field,,,Case,,,
CASE-INT-007-ACT-002,CASE-INT-007,case_sla_breach,2,Create Record,,,Task,,,
CASE-INT-007-ACT-003,CASE-INT-007,case_sla_breach,3,Canned Response,English,"This case has breached or is approaching its SLA deadline. I've flagged it on the case record and created an urgent escalation task. SLA breaches affect customer satisfaction scores and contract obligations. Please provide the Case ID to update the status to Escalated immediately. Who should I assign the escalation task to?",,,,
SPE-INT-001-ACT-001,SPE-INT-001,#Arrest#,1,Create Record,,,Case,,,
SPE-INT-001-ACT-002,SPE-INT-001,#Arrest#,2,Canned Response,English,"I understand this is a very difficult situation. I've logged a support case for you. If someone has been arrested, please contact a legal aid helpline immediately. You have the right to remain silent and the right to an attorney. If this is an ongoing emergency, please call 999. Would you like me to connect you with a support advisor?",,,,
SPE-INT-002-ACT-001,SPE-INT-002,#Assault#,1,Create Record,,,Case,,,
SPE-INT-002-ACT-002,SPE-INT-002,#Assault#,2,Apex,,,,,,SPEnergyHighRiskNotifier,Append to Message
SPE-INT-002-ACT-003,SPE-INT-002,#Assault#,3,Canned Response,English,"Your safety is our top priority. If you are in immediate danger, please call 999 right now. I've created a support case and our welfare team has been alerted. Please move to a safe location if you can. Do not confront the aggressor — wait for help to arrive.",,,,
SPE-INT-003-ACT-001,SPE-INT-003,#Legal#,1,Create Record,,,Case,,,
SPE-INT-003-ACT-002,SPE-INT-003,#Legal#,2,Canned Response,English,"I've logged your legal matter as a support case. For immediate legal guidance, please contact the Legal Aid Helpline. Our support team can also arrange a call-back with a welfare advisor who can point you to the right legal resources. Is there anything more specific I can help you with right now?",,,,
SPE-INT-004-ACT-001,SPE-INT-004,#Car Accident#,1,Create Record,,,Case,,,
SPE-INT-004-ACT-002,SPE-INT-004,#Car Accident#,2,Canned Response,English,"I'm sorry to hear about this accident. I've created a support case for you. First — are you and everyone else safe? If there are injuries, please call 999 immediately. If the accident involves another vehicle, do not admit fault, note the other driver's details, and contact your insurance. Our support team will reach out to assist you further.",,,,
SPE-INT-005-ACT-001,SPE-INT-005,#Emergency#,1,Create Record,,,Case,,,
SPE-INT-005-ACT-002,SPE-INT-005,#Emergency#,2,Flow,,,,,SP_Emergency_Escalation_Flow,,
SPE-INT-005-ACT-003,SPE-INT-005,#Emergency#,3,Canned Response,English,"This sounds like an emergency. If there is an immediate threat to life, please call 999 NOW. I've created an urgent support case and our emergency response team has been notified. Stay as calm as you can. If you cannot speak, you can text 999. Is there anything specific I can do to assist you right now?",,,,
SPE-INT-006-ACT-001,SPE-INT-006,#Hospital#,1,Create Record,,,Case,,,
SPE-INT-006-ACT-002,SPE-INT-006,#Hospital#,2,Canned Response,English,"I've logged a support case for your medical situation. If this is a life-threatening emergency, please call 999 immediately or ask hospital staff for assistance. Our team is here to help with any support needs arising from this situation — whether that's welfare, bill payment pauses, or additional assistance. Please let me know how we can help.",,,,
SPE-INT-007-ACT-001,SPE-INT-007,#Lost Document#,1,Create Record,,,Case,,,
SPE-INT-007-ACT-002,SPE-INT-007,#Lost Document#,2,Canned Response,English,"I've created a case to help you with your lost document. For official SP Energy documents such as bills or account letters, we can reissue copies — please confirm your account details so we can arrange this. For government-issued documents like a passport or ID, please contact the relevant issuing authority. Our support team will be in touch shortly.",,,,
SPE-INT-008-ACT-001,SPE-INT-008,#Missing Ambulance#,1,Create Record,,,Case,,,
SPE-INT-008-ACT-002,SPE-INT-008,#Missing Ambulance#,2,Flow,,,,,SP_Urgent_Dispatch_Flow,,
SPE-INT-008-ACT-003,SPE-INT-008,#Missing Ambulance#,3,Canned Response,English,"This is extremely urgent. Please call 999 again immediately and explain that an ambulance was called but has not arrived — ask for an ETA. Keep the person calm, lay them down, and follow the 999 operator's instructions. I have created an urgent case and our emergency team has been alerted. Do not hang up on 999.",,,,
SPE-INT-009-ACT-001,SPE-INT-009,#Police#,1,Create Record,,,Case,,,
SPE-INT-009-ACT-002,SPE-INT-009,#Police#,2,Canned Response,English,"I've logged a support case for this situation. If you need to report a non-emergency crime, contact police on 101. For emergencies, call 999. If you're being questioned by police, you have the right to remain silent and request a solicitor. Our welfare team can provide additional support — would you like us to arrange a call-back?",,,,
SPE-INT-010-ACT-001,SPE-INT-010,#Visa Rejection#,1,Create Record,,,Case,,,
SPE-INT-010-ACT-002,SPE-INT-010,#Visa Rejection#,2,Canned Response,English,"I'm sorry to hear about your visa rejection. I've created a support case. You typically have the right to appeal or reapply — the rejection letter will state the reason and your options. Consider consulting an immigration solicitor for guidance. Our support team can connect you with welfare services if needed. Would you like to arrange a call-back?",,,,
SPE-INT-011-ACT-001,SPE-INT-011,#Password#,1,Canned Response,English,"To reset your SP Energy account password, please visit our website and click Forgot Password on the login page — you'll receive a reset link by email within a few minutes. If you don't receive the email, check your spam folder. If you're still locked out after 24 hours, please contact our support team and we'll verify your identity and reset your access manually.",,,,
SPE-INT-012-ACT-001,SPE-INT-012,#Gibberish#,1,Canned Response,English,"I'm sorry, I didn't quite understand that. Could you please rephrase your question? I'm here to help with emergencies, complaints, account queries, and general support. If you need urgent help, please type 'help' or call us directly.",,,,
SPE-INT-013-ACT-001,SPE-INT-013,#Agent#,1,Apex,,,,,,SPEnergyLiveAgentTransfer,Replace Message
SPE-INT-014-ACT-001,SPE-INT-014,#Help#,1,Canned Response,English,"I'm the SP Energy support assistant. Here's how I can help you today: Emergency situations (accidents, assaults, medical emergencies), log a complaint or support case, escalate to a senior advisor, account and billing queries, lost documents or password resets, and welfare and legal signposting. Just type what you need and I'll take it from there.",,,,
SPE-INT-015-ACT-001,SPE-INT-015,#Timeout#,1,Canned Response,English,"It looks like your session timed out due to inactivity. No worries — you can start a new chat at any time and I'll be ready to help. If you were in the middle of something important, please start again. If this was urgent, please call our helpline directly.",,,,
SPE-INT-016-ACT-001,SPE-INT-016,#Stuck at Emergency#,1,Create Record,,,Case,,,
SPE-INT-016-ACT-002,SPE-INT-016,#Stuck at Emergency#,2,Canned Response,English,"I can hear that you're in a difficult position right now. I've created an urgent case. If you are physically in danger or trapped, please call 999 immediately. Stay calm, conserve your phone battery, and try to make your location known. Our support team has been alerted and will respond as quickly as possible.",,,,
SPE-INT-017-ACT-001,SPE-INT-017,#File a Complaint#,1,Create Record,,,Case,,,
SPE-INT-017-ACT-002,SPE-INT-017,#File a Complaint#,2,Update Field,,,Account,,,
SPE-INT-017-ACT-003,SPE-INT-017,#File a Complaint#,3,Canned Response,English,"Your complaint has been formally logged and a case has been created. You will receive a reference number by email shortly. Our complaints team aims to respond within 5 working days. If you are unsatisfied with our response, you also have the right to escalate to the relevant regulatory body. Thank you for letting us know — your feedback helps us improve.",,,,
SPE-INT-018-ACT-001,SPE-INT-018,#Presidential#,1,Create Record,,,Case,,,
SPE-INT-018-ACT-002,SPE-INT-018,#Presidential#,2,Update Field,,,Account,,,
SPE-INT-018-ACT-003,SPE-INT-018,#Presidential#,3,Apex,,,,,,SPEnergyExecutiveNotifier,Append to Message
SPE-INT-018-ACT-004,SPE-INT-018,#Presidential#,4,Canned Response,English,"I understand you require escalation to our senior leadership team. I've created a high-priority case, flagged your account, and our executive support team has been personally notified. You should expect direct contact within 24 hours. We take matters at this level very seriously and appreciate your patience.",,,,
SPE-INT-019-ACT-001,SPE-INT-019,#Can't Reach#,1,Canned Response,English,"I'm sorry you've been having difficulty reaching us. I can help you right here via this chat. Alternatively, you can reach us by: Phone: [SP Energy Phone Number] (Mon-Fri 8am-8pm), Live Chat: Available 24/7 on our website, Email: [SP Energy Support Email], Online Account Portal: my.spenergy.com. Would you like me to log a call-back request so a team member reaches out at a time that suits you?",,,,
SPE-INT-020-ACT-001,SPE-INT-020,#Thank You#,1,Canned Response,English,"You're very welcome! It was my pleasure to help. If you ever need assistance again, don't hesitate to start a new chat. Take care and have a great day!",,,,
SPE-INT-021-ACT-001,SPE-INT-021,#Mental Health#,1,Create Record,,,Case,,,
SPE-INT-021-ACT-002,SPE-INT-021,#Mental Health#,2,Update Field,,,Account,,,
SPE-INT-021-ACT-003,SPE-INT-021,#Mental Health#,3,Flow,,,,,SP_Welfare_Check_Flow,,
SPE-INT-021-ACT-004,SPE-INT-021,#Mental Health#,4,Canned Response,English,"I hear you, and I'm really glad you reached out. You are not alone. Please know that help is available right now. If you are in immediate crisis, please call the Samaritans on 116 123 (free, 24/7) or text SHOUT to 85258. I've created a case and our welfare team will follow up with you personally. You don't have to face this on your own — we care about your wellbeing.",,,,
IPD-INT-001-ACT-001,IPD-INT-001,ipd_greeting,1,Canned Response,English,"Hello! Welcome to Insurance Plan Discovery. I'm here to help you find the right health insurance plan. I can: show you all available plans, compare plans side by side, and recommend the best plan based on your age, family size, budget, and health history. What would you like to explore today?",,,,
IPD-INT-001-ACT-002,IPD-INT-001,ipd_greeting,2,Canned Response,Spanish,"¡Hola! Bienvenido al asistente de Descubrimiento de Seguros de Salud. Puedo ayudarte a explorar nuestros planes, compararlos y recomendarte el más adecuado según tu perfil. ¿Por dónde quieres empezar?",,,,
IPD-INT-002-ACT-001,IPD-INT-002,pre_existing_condition_inquiry,1,Create Record,,,Lead,,,
IPD-INT-002-ACT-002,IPD-INT-002,pre_existing_condition_inquiry,2,Canned Response,English,"Yes, we do have plans that cover pre-existing conditions. These plans typically include a waiting period of 2–4 years before the pre-existing condition is fully covered. I've noted your query and one of our health advisors will be in touch to walk you through the best options. In the meantime, shall I show you all plans that include pre-existing disease coverage?",,,,
IPD-INT-003-ACT-001,IPD-INT-003,family_coverage_inquiry,1,Canned Response,English,"Great — family health plans are one of our most popular options! A family floater plan covers all members under a single sum insured, which is usually more cost-effective. To show you the most relevant options, could you tell me: (1) How many people will be covered? (2) What is the age of the eldest member? (3) Do you have a monthly budget in mind? With that, I can give you personalised recommendations right away.",,,,
IPD-INT-004-ACT-001,IPD-INT-004,budget_concern,1,Canned Response,English,"I completely understand — finding good coverage at the right price is important. Let me help you find a plan that fits your budget. Could you tell me your maximum monthly premium (e.g. £200/month)? I'll search for all active plans within that range. Also, would you like to keep pre-existing condition coverage, or are you open to plans without it to keep costs lower?",,,,
IPD-INT-005-ACT-001,IPD-INT-005,purchase_intent_signal,1,Create Record,,,Lead,,,
IPD-INT-005-ACT-002,IPD-INT-005,purchase_intent_signal,2,Canned Response,English,"Excellent choice! To get you a formal quote and start the application, I'll need to connect you with one of our insurance advisors who will guide you through the next steps — including any health declaration forms and underwriting checks. I've captured your interest and a specialist will be in touch within 1 business day. If you'd like to proceed faster, you can also apply directly at [Website URL]. Is there anything else I can help you with while you wait?",,,,
IPD-INT-006-ACT-001,IPD-INT-006,plan_not_found_frustration,1,Create Record,,,Lead,,,
IPD-INT-006-ACT-002,IPD-INT-006,plan_not_found_frustration,2,Canned Response,English,"I'm sorry we don't have a perfect match right now. I've flagged your requirements with our team so we can look at expanding our options. In the meantime: (1) One of our advisors can put together a bespoke recommendation — shall I arrange a call-back? (2) You could also adjust one filter at a time (e.g. slightly higher budget or shorter waiting period) and I can search again. Which would you prefer?",,,,
IPD-INT-007-ACT-001,IPD-INT-007,competitor_mention,1,Update Field,,,Lead,,,
IPD-INT-007-ACT-002,IPD-INT-007,competitor_mention,2,Canned Response,English,"It's always good to compare your options — that's exactly the right approach when making a healthcare decision! While I can't comment on other providers directly, I can show you exactly what makes our plans stand out. Would you like me to find a plan that matches what you're looking for in terms of coverage and value?",,,,
IPD-INT-008-ACT-001,IPD-INT-008,ipd_out_of_scope,1,Canned Response,English,"That's something I'm not able to help with in this chat — I'm specialised in helping you explore and choose new health insurance plans. For queries about an existing policy, renewals, claims, or account changes, please contact our customer support team: Phone: [Support Number] | Email: [Support Email] | Portal: [Customer Portal URL]. Is there anything I can help you with regarding our plans today?",,,,
