Ext_ID,Action_Ext_ID,ccai_qa__AI_Intent_Action__c,ccai_qa__Field_API_Name__c,ccai_qa__Type__c,_Hardcoded_Value_Or_AI_Instruction
SPE-INT-006-ACT-001-DTL-001,SPE-INT-006-ACT-001,,Subject,AI Extracted,Summarize the medical or hospital situation from the conversation.
SPE-INT-006-ACT-001-DTL-002,SPE-INT-006-ACT-001,,Description,AI Extracted,Document the hospital or medical situation as described by the user.
SPE-INT-006-ACT-001-DTL-003,SPE-INT-006-ACT-001,,Priority,Hardcoded,High
SPE-INT-006-ACT-001-DTL-004,SPE-INT-006-ACT-001,,Status,Hardcoded,New
SPE-INT-007-ACT-001-DTL-001,SPE-INT-007-ACT-001,,Subject,AI Extracted,Summarize the lost document situation — what type of document was lost.
SPE-INT-007-ACT-001-DTL-002,SPE-INT-007-ACT-001,,Description,AI Extracted,Describe which document is lost and any relevant context.
SPE-INT-007-ACT-001-DTL-003,SPE-INT-007-ACT-001,,Priority,Hardcoded,Medium
SPE-INT-007-ACT-001-DTL-004,SPE-INT-007-ACT-001,,Status,Hardcoded,New
SPE-INT-008-ACT-001-DTL-001,SPE-INT-008-ACT-001,,Subject,Hardcoded,URGENT: Ambulance / Emergency Services Not Arrived
SPE-INT-008-ACT-001-DTL-002,SPE-INT-008-ACT-001,,Description,AI Extracted,Document the full details of when emergency services were called and why they have not arrived.
SPE-INT-008-ACT-001-DTL-003,SPE-INT-008-ACT-001,,Priority,Hardcoded,High
SPE-INT-008-ACT-001-DTL-004,SPE-INT-008-ACT-001,,Status,Hardcoded,New
SPE-INT-009-ACT-001-DTL-001,SPE-INT-009-ACT-001,,Subject,AI Extracted,Summarize the police-related situation from the conversation.
SPE-INT-009-ACT-001-DTL-002,SPE-INT-009-ACT-001,,Description,AI Extracted,Document the details of the police involvement as described by the user.
SPE-INT-009-ACT-001-DTL-003,SPE-INT-009-ACT-001,,Priority,Hardcoded,High
SPE-INT-009-ACT-001-DTL-004,SPE-INT-009-ACT-001,,Status,Hardcoded,New
SPE-INT-010-ACT-001-DTL-001,SPE-INT-010-ACT-001,,Subject,AI Extracted,Summarize the visa rejection situation from the conversation.
SPE-INT-010-ACT-001-DTL-002,SPE-INT-010-ACT-001,,Description,AI Extracted,"Document the details of the visa rejection — country, visa type, reason if given."
SPE-INT-010-ACT-001-DTL-003,SPE-INT-010-ACT-001,,Priority,Hardcoded,Medium
SPE-INT-010-ACT-001-DTL-004,SPE-INT-010-ACT-001,,Status,Hardcoded,New
SPE-INT-016-ACT-001-DTL-001,SPE-INT-016-ACT-001,,Subject,AI Extracted,Summarize the situation where the user is stuck — what they are trapped in or unable to do.
SPE-INT-016-ACT-001-DTL-002,SPE-INT-016-ACT-001,,Description,AI Extracted,"Document the full context of the user being stuck — where they are, what happened, what help they need."
SPE-INT-016-ACT-001-DTL-003,SPE-INT-016-ACT-001,,Priority,Hardcoded,High
SPE-INT-016-ACT-001-DTL-004,SPE-INT-016-ACT-001,,Status,Hardcoded,New
SPE-INT-017-ACT-001-DTL-001,SPE-INT-017-ACT-001,,Subject,AI Extracted,Create a concise complaint subject from the conversation.
SPE-INT-017-ACT-001-DTL-002,SPE-INT-017-ACT-001,,Description,AI Extracted,"Document the full complaint — what happened, when, and what outcome the user expects."
SPE-INT-017-ACT-001-DTL-003,SPE-INT-017-ACT-001,,Priority,Hardcoded,Medium
SPE-INT-017-ACT-001-DTL-004,SPE-INT-017-ACT-001,,Status,Hardcoded,New
SPE-INT-017-ACT-002-DTL-001,SPE-INT-017-ACT-002,,Description,AI Extracted,"Prepend COMPLAINT FILED: to the account description. Summarize the nature of the complaint from the conversation and include today's date."
SPE-INT-018-ACT-001-DTL-001,SPE-INT-018-ACT-001,,Subject,AI Extracted,Summarize the issue that requires presidential or executive escalation.
SPE-INT-018-ACT-001-DTL-002,SPE-INT-018-ACT-001,,Description,AI Extracted,"Document the full context — previous attempts, the core issue, and the expected resolution."
SPE-INT-018-ACT-001-DTL-003,SPE-INT-018-ACT-001,,Priority,Hardcoded,High
SPE-INT-018-ACT-001-DTL-004,SPE-INT-018-ACT-001,,Status,Hardcoded,New
SPE-INT-018-ACT-002-DTL-001,SPE-INT-018-ACT-002,,Description,AI Extracted,"Prepend PRESIDENTIAL COMPLAINT: to the account description. Include the nature of the escalation and today's date as extracted from the conversation."
SPE-INT-021-ACT-001-DTL-001,SPE-INT-021-ACT-001,,Subject,Hardcoded,Mental Health Support Required — Immediate Follow-up Needed
SPE-INT-021-ACT-001-DTL-002,SPE-INT-021-ACT-001,,Description,AI Extracted,Carefully summarise what the user has shared about their mental health situation — use empathetic clinical language. Do not include anything distressing if read later.
SPE-INT-021-ACT-001-DTL-003,SPE-INT-021-ACT-001,,Priority,Hardcoded,High
SPE-INT-021-ACT-001-DTL-004,SPE-INT-021-ACT-001,,Status,Hardcoded,New
SPE-INT-021-ACT-002-DTL-001,SPE-INT-021-ACT-002,,Description,Hardcoded,WELFARE FLAG: Customer has indicated mental health concern. Welfare team follow-up required. Handle with sensitivity and care.
IPD-INT-002-ACT-001-DTL-001,IPD-INT-002-ACT-001,,LastName,AI Extracted,Extract the user's name from the conversation if mentioned; default to 'Chat Prospect' if not provided
IPD-INT-002-ACT-001-DTL-002,IPD-INT-002-ACT-001,,Company,Hardcoded,Self - Individual
IPD-INT-002-ACT-001-DTL-003,IPD-INT-002-ACT-001,,LeadSource,Hardcoded,Chat
IPD-INT-002-ACT-001-DTL-004,IPD-INT-002-ACT-001,,Status,Hardcoded,New
IPD-INT-002-ACT-001-DTL-005,IPD-INT-002-ACT-001,,Description,AI Extracted,"Summarise the pre-existing condition mentioned by the user and the type of plan they are asking about — include condition name, plan type interest, and any budget or coverage details shared"
IPD-INT-005-ACT-001-DTL-001,IPD-INT-005-ACT-001,,LastName,AI Extracted,Extract the user's name from the conversation if provided; otherwise use 'Chat Prospect'
IPD-INT-005-ACT-001-DTL-002,IPD-INT-005-ACT-001,,Company,Hardcoded,Self - Individual
IPD-INT-005-ACT-001-DTL-003,IPD-INT-005-ACT-001,,LeadSource,Hardcoded,Chat
IPD-INT-005-ACT-001-DTL-004,IPD-INT-005-ACT-001,,Status,Hardcoded,Hot
IPD-INT-005-ACT-001-DTL-005,IPD-INT-005-ACT-001,,Description,AI Extracted,"Summarise which plan the user expressed interest in, their budget, family size, age, and any medical conditions mentioned during the conversation"
IPD-INT-006-ACT-001-DTL-001,IPD-INT-006-ACT-001,,LastName,AI Extracted,Extract user's name if mentioned; default to 'Unmet Need Prospect'
IPD-INT-006-ACT-001-DTL-002,IPD-INT-006-ACT-001,,Company,Hardcoded,Self - Individual
IPD-INT-006-ACT-001-DTL-003,IPD-INT-006-ACT-001,,LeadSource,Hardcoded,Chat
IPD-INT-006-ACT-001-DTL-004,IPD-INT-006-ACT-001,,Status,Hardcoded,New
IPD-INT-006-ACT-001-DTL-005,IPD-INT-006-ACT-001,,Description,AI Extracted,"Summarise what the user was looking for that could not be matched — conditions required, budget cap, coverage amount, plan type — so the product team can identify portfolio gaps"
IPD-INT-007-ACT-001-DTL-001,IPD-INT-007-ACT-001,,Description,AI Extracted,"Append to existing description: COMPETITIVE INTEL: followed by the competitor name or plan mentioned and what the user said about it (e.g. price, features, benefits they preferred)"
